file	line	scope	decorators	text
findex_bot/handlers/responds.py	3195	_send_form_preview_from_state		⚠️ Потерял контекст объявления. Нажми «📩 Откликнуться» ещё раз.
findex_bot/handlers/responds.py	3243	_send_form_preview_from_state		✏️ Чтобы изменить конкретное поле — нажми на кнопку ниже. Если всё верно — нажми «📨 Отправить отклик».
findex_bot/handlers/responds.py	3381	form_preview_clean_thread	router.message(RespondFSM.form_preview)	Используй кнопки выше.
findex_bot/handlers/responds.py	3449	form_existing_notice_clean_thread	router.message(RespondFSM.form_existing_notice)	Используй кнопку «Открыть мой отклик» в карточке выше.
findex_bot/handlers/responds.py	3537	form_step_age	router.message(RespondFSM.form_age)	3/4 Выбери <b>Гражданство</b> (обязательно). Если твоей страны нет в списке — нажми «🌍 Другая страна».
findex_bot/handlers/responds.py	3573	form_step_citizenship_pick_message	router.message(RespondFSM.form_citizenship_pick)	⚠️ Здесь нужно выбрать гражданство кнопкой выше. Если страны нет в списке — нажми «🌍 Другая страна».
findex_bot/handlers/responds.py	3708	form_step_experience	router.message(RespondFSM.form_experience)	📎 <b>Резюме</b> (опционально) Пришли: • файл резюме (doc/pdf) ИЛИ • ссылку (Avito / HH / Job.ru / SuperJob) Либо нажми «⏭️ Пропустить».
findex_bot/handlers/responds.py	3885	form_edit_field	"router.callback_query(F.data.startswith(f""{CB_FORM_EDIT}:""))"	3/4 Выбери <b>Гражданство</b> (обязательно). Если твоей страны нет в списке — нажми «🌍 Другая страна».
findex_bot/handlers/responds.py	3903	form_edit_field	"router.callback_query(F.data.startswith(f""{CB_FORM_EDIT}:""))"	📎 <b>Резюме</b> (опционально) Пришли: • файл резюме (doc/pdf) ИЛИ • ссылку (Avito / HH / Job.ru / SuperJob) Либо нажми «⏭️ Пропустить».
findex_bot/handlers/responds.py	3947	form_send	"router.callback_query(F.data.startswith(f""{CB_FORM_SEND}:""))"	⏳ Кнопка уже нажата. Подожди 1–2 секунды и попробуй ещё раз.
findex_bot/handlers/responds.py	3959	form_send	"router.callback_query(F.data.startswith(f""{CB_FORM_SEND}:""))"	⏳ Отклик уже отправляется. Подожди пару секунд.
findex_bot/handlers/responds.py	3992	form_send	"router.callback_query(F.data.startswith(f""{CB_FORM_SEND}:""))"	🚫 Ты уже откликался на это объявление.
findex_bot/handlers/responds.py	3999	form_send	"router.callback_query(F.data.startswith(f""{CB_FORM_SEND}:""))"	🚫 Лимит откликов исчерпан. Сегодня можно отправить только 5 откликов. Попробуй снова после полуночи.
findex_bot/handlers/responds.py	4006	form_send	"router.callback_query(F.data.startswith(f""{CB_FORM_SEND}:""))"	⚠️ Временно не удалось проверить дневной лимит откликов. Попробуй ещё раз чуть позже.
findex_bot/handlers/responds.py	4016	form_send	"router.callback_query(F.data.startswith(f""{CB_FORM_SEND}:""))"	Отклик отправлен. Анкета заполнена.
findex_bot/handlers/responds.py	4066	form_send	"router.callback_query(F.data.startswith(f""{CB_FORM_SEND}:""))"	🚫 Ты уже откликался на это объявление.
findex_bot/handlers/responds.py	4120	form_send	"router.callback_query(F.data.startswith(f""{CB_FORM_SEND}:""))"	🚀 Отклик отправлен Работодатель уже может ответить
findex_bot/handlers/responds.py	4239	candidate_cancel	"router.callback_query(F.data.startswith(f""{CB_CAND_CANCEL}:""))"	❌ Отклик не найден
findex_bot/handlers/responds.py	4245	candidate_cancel	"router.callback_query(F.data.startswith(f""{CB_CAND_CANCEL}:""))"	🔒 Отклик уже закрыт
findex_bot/handlers/responds.py	4290	candidate_cancel	"router.callback_query(F.data.startswith(f""{CB_CAND_CANCEL}:""))"	🚫 Отклик закрыт
findex_bot/handlers/responds.py	4306	author_close	"router.callback_query(F.data.startswith(f""{CB_AUTHOR_CLOSE}:"") | F.data.startswith(f""{CB_OWNER_CLOSE_ALIAS}:""))"	❌ Отклик не найден
findex_bot/handlers/responds.py	4312	author_close	"router.callback_query(F.data.startswith(f""{CB_AUTHOR_CLOSE}:"") | F.data.startswith(f""{CB_OWNER_CLOSE_ALIAS}:""))"	🔒 Отклик уже закрыт
findex_bot/handlers/responds.py	4339	author_close	"router.callback_query(F.data.startswith(f""{CB_AUTHOR_CLOSE}:"") | F.data.startswith(f""{CB_OWNER_CLOSE_ALIAS}:""))"	🚫 Отклик закрыт
findex_bot/handlers/responds.py	4356	author_reject	"router.callback_query(F.data.startswith(f""{CB_AUTHOR_REJECT}:""))"	❌ Отклик не найден
findex_bot/handlers/responds.py	4363	author_reject	"router.callback_query(F.data.startswith(f""{CB_AUTHOR_REJECT}:""))"	🔒 Отклик уже закрыт
findex_bot/handlers/responds.py	4366	author_reject	"router.callback_query(F.data.startswith(f""{CB_AUTHOR_REJECT}:""))"	Отклик отклонён работодателем.
findex_bot/handlers/responds.py	4409	author_reject	"router.callback_query(F.data.startswith(f""{CB_AUTHOR_REJECT}:""))"	🚫 Работодатель отклонил отклик.
findex_bot/handlers/responds.py	4431	author_invite	"router.callback_query(F.data.startswith(f""{CB_AUTHOR_INVITE}:"") | F.data.startswith(f""{CB_OWNER_INVITE_ALIAS}:""))"	❌ Отклик не найден
findex_bot/handlers/responds.py	4438	author_invite	"router.callback_query(F.data.startswith(f""{CB_AUTHOR_INVITE}:"") | F.data.startswith(f""{CB_OWNER_INVITE_ALIAS}:""))"	🔒 Отклик уже закрыт
findex_bot/handlers/responds.py	4440	author_invite	"router.callback_query(F.data.startswith(f""{CB_AUTHOR_INVITE}:"") | F.data.startswith(f""{CB_OWNER_INVITE_ALIAS}:""))"	🔒 Отклик устарел и уже недоступен.
findex_bot/handlers/responds.py	4490	author_reply_start	"router.callback_query(F.data.startswith(f""{CB_AUTHOR_REPLY}:"") | F.data.startswith(f""{CB_OWNER_REPLY_ALIAS}:""))"	❌ Отклик не найден
findex_bot/handlers/responds.py	4577	author_reply_text	router.message(RespondFSM.author_reply_text)	🔒 Отклик уже закрыт. Сообщение не отправлено.
findex_bot/handlers/responds.py	4621	cand_reply_start	"router.callback_query(F.data.startswith(f""{CB_CAND_REPLY}:""))"	❌ Отклик не найден
findex_bot/handlers/responds.py	4714	cand_reply_text	router.message(RespondFSM.cand_reply_text)	🔒 Отклик уже закрыт. Сообщение не отправлено.
findex_bot/handlers/seeker.py	90	_trash_buttons_only_notice		ℹ️ Нажми одну из кнопок выше, чтобы выбрать способ получения откликов.
findex_bot/handlers/seeker.py	95	_contact_mode_keyboard_2		🔒 Отклики через бота (рекомендовано)
findex_bot/handlers/seeker.py	96	_contact_mode_keyboard_2		📞 Контакты в объявлении (без бота)
findex_bot/handlers/seeker.py	111	_media_confirmed_stub	router.callback_query(F.data == MEDIA_CONFIRMED_CALLBACK)	🟢 Фото подтверждено. Если хочешь заменить — открой предпросмотр объявления и нажми кнопку «Фото».
findex_bot/handlers/seeker.py	178	_need_restart		⚠️ Сессия сбилась. Нажми /start.
findex_bot/handlers/seeker.py	199	_prompt_schedule		Укажи 🕒 график. Пример: 5/2, 2/2, Сменный, Гибкий, Удалёнка
findex_bot/handlers/seeker.py	212	_prompt_contacts		Укажи 📞 контакты. ℹ️ Подсказка по контактам: • Telegram: @username • Телефон: +7 999 123-45-67 • Email: name@mail.com • Любой удобный способ связи
findex_bot/handlers/seeker.py	226	_prompt_contact_mode		Как принимать отклики?
findex_bot/handlers/seeker.py	558	seek_contacts	router.message(SeekerForm.contacts)	Контакты
findex_bot/handlers/seeker.py	832	_metro_pick	router.callback_query(StateFilter(SeekerForm.location), F.data.startswith(METRO_PICK_CALLBACK))	Выбери линию метро Москвы:
findex_bot/handlers/seeker.py	846	_metro_line_pick	router.callback_query(StateFilter(SeekerForm.location), F.data.startswith(METRO_LINE_CALLBACK + ':'))	Выбери станцию метро:
findex_bot/handlers/seeker.py	860	_metro_station_pick	router.callback_query(StateFilter(SeekerForm.location), F.data.startswith(METRO_STATION_CALLBACK + ':'))	⚠️ Не удалось определить станцию
findex_bot/handlers/seeker.py	866	_metro_station_pick	router.callback_query(StateFilter(SeekerForm.location), F.data.startswith(METRO_STATION_CALLBACK + ':'))	⚠️ Сессия сбилась. Нажми /start.
findex_bot/handlers/seeker.py	898	_send_contact_mode_hint		Нажми одну из кнопок выше, чтобы выбрать способ получения откликов.
findex_bot/handlers/seeker.py	917	_send_photo_choice_hint		Нажми одну из кнопок выше: ➕ Добавить медиа или ⏭ Без медиа.
findex_bot/handlers/seeker.py	986	seeker_buttons_only_trash	router.message(StateFilter(SeekerForm.preview, SeekerForm.media_choice, SeekerForm.media_confirm))	⏳ Объявление уже отправлено на модерацию. Дождись ответа модератора.
findex_bot/handlers/seeker.py	988	seeker_buttons_only_trash	router.message(StateFilter(SeekerForm.preview, SeekerForm.media_choice, SeekerForm.media_confirm))	Используй кнопки выше: исправить поле, изменить медиа или отправить объявление на модерацию.
